,Année,Âge,Revenu net nécessaire,Revenu d'emploi,Solde REER/FERR,Solde CRI/FRV,Solde CELI,Solde Non-enregistré,Rente PD,RRQ,SV (OAS),SRG,Retrait REER/FERR,Retrait CRI/FRV,Retrait CELI,Retrait Non-enregistré
0,2025,54,0,157000,276501,366134.60000000003,76320,5500,0,0,0,0,0,0,0,0
1,2026,55,0,161710,301661.69,410386.3140000001,88319.20000000001,6050.000000000001,0,0,0,0,0,0,0,0
2,2027,56,0,166561.30000000002,328589.1403,457961.6399800001,101038.35200000001,6655.000000000002,0,0,0,0,0,0,0,0
3,2028,57,0,171558.13900000002,357397.070085,509080.0499330002,114520.65312000002,7320.500000000003,0,0,0,0,0,0,0,0
4,2029,58,0,176704.88317000002,388206.25309811,563974.7858298062,128811.89230720002,8052.550000000004,0,0,0,0,0,0,0,0
5,2030,59,0,182006.0296651,421144.94785624696,622893.7038674455,143960.605845632,8857.805000000006,0,0,0,0,0,0,0,0
6,2031,60,108000,0,330065.7644026218,660267.3260994923,152598.24219636992,0,38250,0,0,0,0,0,0,8857.805000000006
7,2032,61,108000,0,228592.4602667791,699883.3656654619,161754.1367281521,0,38250,0,0,0,0,0,0,0
8,2033,62,108000,0,121030.75788278584,741876.3676053896,171459.38493184125,0,38250,0,0,0,0,0,0,0
9,2034,63,108000,0,7015.353355752988,786388.949661713,181746.94802775173,0,38250,0,0,0,0,0,0,0
10,2035,64,108000,0,0,720103.1185770631,192651.76490941684,0,38250,0,0,0,0,0,0,0
11,2036,65,108000,0,0,668187.5556916869,204210.87080398187,0,38250,15000,8500,0,0,0,0,0
12,2037,66,108000,0,0,613680.1690331881,216463.5230522208,0,38250,15300,8670,0,0,0,0,0
13,2038,67,108000,0,0,556435.9113751794,229451.33443535405,0,38250,15606,8843.4,0,0,0,0,0
14,2039,68,108000,0,0,496301.2361776902,243218.4145014753,0,38250,15918.120000000003,9020.268000000002,0,0,0,0,0
15,2040,69,108000,0,0,436645.8275891319,257811.51937156383,0,38250,16236.482399999999,9200.67336,0,0,0,0,0
16,2041,70,108000,0,0,381846.77622669586,273280.2105338577,0,38250,16561.212048,9384.6868272,0,0,0,0,0
17,2042,71,108000,0,0,328770.07433118514,289677.02316588914,0,38250,16892.43628896,9572.380563744,0,0,68732.41972080525,0,0
18,2043,72,108000,0,0,281344.99110891175,307057.6445558425,0,38250,17230.285014739202,9763.82817501888,0,0,60822.46375126924,0,0
19,2044,73,108000,0,0,239283.91493812946,325481.1032291931,0,38250,17574.890715033987,9959.10473851926,0,0,53455.54831069324,0,0
20,2045,74,108000,0,0,202254.7291014539,345009.9694229447,0,38250,17926.388529334665,10158.286833289643,0,0,46660.36341293524,0,0
21,2046,75,108000,0,0,169893.9724452213,365710.5675883214,0,38250,18284.91629992136,10361.452569955438,0,0,40450.945820290784,0,0
22,2047,76,108000,0,0,141818.9934986485,387653.2016436207,0,38250,18650.61462591979,10568.681621354546,0,0,34828.264351270365,0,0
23,2048,77,108000,0,0,117638.85510712893,410912.39374223794,0,38250,19023.62691843818,10780.055253781637,0,0,29781.98863471618,0,0
24,2049,78,108000,0,0,96963.82632205101,435567.1373667722,0,38250,19404.099456806947,10995.65635885727,0,0,25292.35384803272,0,0
25,2050,79,108000,0,0,79413.37375775978,461701.1656087786,0,38250,19792.181445943086,11215.569486034416,0,0,21332.041790851225,0,0
26,2051,80,108000,0,0,64622.63289537702,489403.23554530536,0,38250,20188.025074861947,11439.880875755103,0,0,17868.009095495952,0,0
27,2052,81,108000,0,0,52247.39869591232,518767.42967802373,0,38250,20591.785576359187,11668.678493270207,0,0,14863.205565936718,0,0
28,2053,82,108000,0,0,41967.72300249157,549893.4754587052,0,38250,21003.621287886373,11902.05206313561,0,0,12278.138693539395,0,0
29,2054,83,108000,0,0,33490.24295598827,582887.0839862275,0,38250,21423.6937136441,12140.093104398324,0,0,10072.253520597977,0,0
30,2055,84,108000,0,0,26549.390103359703,617860.3090254012,0,38250,21852.16758791698,12382.89496648629,0,0,8205.109524217127,0,0
31,2056,85,108000,0,0,20907.644706395768,654931.9275669254,0,38250,22289.210939675322,12630.552865816016,0,0,6637.347525839926,0,0
32,2057,86,108000,0,0,16355.005071578089,694227.843220941,0,38250,22734.995158468828,12883.163923132335,0,0,5331.449400130921,0,0
33,2058,87,108000,0,0,12707.838940616175,735881.5138141975,0,38250,23189.695061638206,13140.827201594982,0,0,4252.3013186103035,0,0
34,2059,88,108000,0,0,9807.274702420535,780034.4046430493,0,38250,23653.48896287097,13403.643745626885,0,0,3367.5773192632864,0,0
35,2060,89,108000,0,0,7517.27605940534,826836.4689216324,0,38250,24126.558742128393,13671.716620539422,0,0,2647.9641696535446,0,0
36,2061,90,108000,0,0,5722.526400222315,876446.6570569304,0,38250,24609.08991697096,13945.150952950211,0,0,2067.2509163364684,0,0
37,2062,91,108000,0,0,4356.273222169238,929033.4564803463,0,38250,25101.271715310377,14224.053972009215,0,0,1573.6947600611368,0,0
38,2063,92,108000,0,0,3316.2129903763325,984775.4638691671,0,38250,25603.29714961659,14508.5350514494,0,0,1197.9751360965404,0,0
39,2064,93,108000,0,0,2524.4671389239834,1043861.9917013173,0,38250,26115.36309260892,14798.705752478389,0,0,911.9585723534915,0,0
40,2065,94,108000,0,0,1921.7506095058823,1106493.7112033963,0,38250,26637.670354461097,15094.679867527955,0,0,694.2284632040955,0,0
